# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_LaB6.dat
#       2th_deg             I 
  3.026796e+00    1.343439e+01
  3.042205e+00    1.335415e+01
  3.057613e+00    1.328515e+01
  3.073021e+00    1.321564e+01
  3.088430e+00    1.314315e+01
  3.103838e+00    1.308808e+01
  3.119247e+00    1.299303e+01
  3.134655e+00    1.292377e+01
  3.150063e+00    1.286294e+01
  3.165472e+00    1.277497e+01
  3.180880e+00    1.271361e+01
  3.196288e+00    1.264159e+01
  3.211697e+00    1.257323e+01
  3.227105e+00    1.251901e+01
  3.242513e+00    1.243802e+01
  3.257922e+00    1.238344e+01
  3.273330e+00    1.232435e+01
  3.288738e+00    1.228298e+01
  3.304147e+00    1.224069e+01
  3.319555e+00    1.217766e+01
  3.334964e+00    1.213587e+01
  3.350372e+00    1.208783e+01
  3.365780e+00    1.206272e+01
  3.381189e+00    1.203550e+01
  3.396597e+00    1.203646e+01
  3.412005e+00    1.205302e+01
  3.427414e+00    1.212727e+01
  3.442822e+00    1.226873e+01
  3.458230e+00    1.243924e+01
  3.473639e+00    1.292252e+01
  3.489047e+00    1.442157e+01
  3.504456e+00    2.023456e+01
  3.519864e+00    6.082338e+01
  3.535272e+00    2.195797e+02
  3.550681e+00    3.029975e+02
  3.566089e+00    1.683073e+02
  3.581497e+00    3.778954e+01
  3.596906e+00    1.699445e+01
  3.612314e+00    1.325521e+01
  3.627722e+00    1.207153e+01
  3.643131e+00    1.162362e+01
  3.658539e+00    1.137661e+01
  3.673948e+00    1.119184e+01
  3.689356e+00    1.104854e+01
  3.704764e+00    1.094464e+01
  3.720173e+00    1.085224e+01
  3.735581e+00    1.077395e+01
  3.750989e+00    1.069886e+01
  3.766398e+00    1.064188e+01
  3.781806e+00    1.056272e+01
  3.797214e+00    1.050294e+01
  3.812623e+00    1.045050e+01
  3.828031e+00    1.040328e+01
  3.843439e+00    1.034841e+01
  3.858848e+00    1.029218e+01
  3.874256e+00    1.025705e+01
  3.889665e+00    1.022696e+01
  3.905073e+00    1.015154e+01
  3.920481e+00    1.010891e+01
  3.935890e+00    1.006932e+01
  3.951298e+00    1.003609e+01
  3.966706e+00    1.000259e+01
  3.982115e+00    9.977973e+00
  3.997523e+00    9.966492e+00
  4.012931e+00    9.926556e+00
  4.028340e+00    9.911529e+00
  4.043748e+00    9.898524e+00
  4.059157e+00    9.879847e+00
  4.074565e+00    9.876564e+00
  4.089973e+00    9.868073e+00
  4.105382e+00    9.832162e+00
  4.120790e+00    9.829207e+00
  4.136198e+00    9.817902e+00
  4.151607e+00    9.812722e+00
  4.167015e+00    9.807364e+00
  4.182423e+00    9.813113e+00
  4.197832e+00    9.829739e+00
  4.213240e+00    9.853846e+00
  4.228648e+00    9.892414e+00
  4.244057e+00    9.974059e+00
  4.259465e+00    1.010493e+01
  4.274874e+00    1.039394e+01
  4.290282e+00    1.128825e+01
  4.305690e+00    1.508912e+01
  4.321099e+00    4.376399e+01
  4.336507e+00    1.135545e+02
  4.351915e+00    1.219474e+02
  4.367324e+00    5.627740e+01
  4.382732e+00    1.728531e+01
  4.398140e+00    1.150959e+01
  4.413549e+00    1.031687e+01
  4.428957e+00    9.912008e+00
  4.444366e+00    9.780535e+00
  4.459774e+00    9.686461e+00
  4.475182e+00    9.611546e+00
  4.490591e+00    9.546474e+00
  4.505999e+00    9.501745e+00
  4.521407e+00    9.466427e+00
  4.536816e+00    9.428308e+00
  4.552224e+00    9.394536e+00
  4.567632e+00    9.379751e+00
  4.583041e+00    9.340772e+00
  4.598449e+00    9.303390e+00
  4.613857e+00    9.273805e+00
  4.629266e+00    9.228883e+00
  4.644674e+00    9.203298e+00
  4.660083e+00    9.182887e+00
  4.675491e+00    9.166106e+00
  4.690899e+00    9.151180e+00
  4.706308e+00    9.133881e+00
  4.721716e+00    9.127330e+00
  4.737124e+00    9.099351e+00
  4.752533e+00    9.087304e+00
  4.767941e+00    9.084809e+00
  4.783349e+00    9.084443e+00
  4.798758e+00    9.057862e+00
  4.814166e+00    9.035702e+00
  4.829575e+00    9.047029e+00
  4.844983e+00    9.033328e+00
  4.860391e+00    9.049854e+00
  4.875800e+00    9.071188e+00
  4.891208e+00    9.059643e+00
  4.906616e+00    9.067254e+00
  4.922025e+00    9.094756e+00
  4.937433e+00    9.185916e+00
  4.952841e+00    9.402040e+00
  4.968250e+00    1.014131e+01
  4.983658e+00    1.391934e+01
  4.999066e+00    3.807463e+01
  5.014475e+00    7.529247e+01
  5.029883e+00    6.708238e+01
  5.045292e+00    2.552690e+01
  5.060700e+00    1.157845e+01
  5.076108e+00    9.656833e+00
  5.091517e+00    9.167301e+00
  5.106925e+00    9.000845e+00
  5.122333e+00    8.926920e+00
  5.137742e+00    8.897916e+00
  5.153150e+00    8.894293e+00
  5.168558e+00    8.825543e+00
  5.183967e+00    8.773180e+00
  5.199375e+00    8.744493e+00
  5.214784e+00    8.726456e+00
  5.230192e+00    8.702963e+00
  5.245600e+00    8.680623e+00
  5.261009e+00    8.671777e+00
  5.276417e+00    8.643887e+00
  5.291825e+00    8.637712e+00
  5.307234e+00    8.610040e+00
  5.322642e+00    8.578032e+00
  5.338050e+00    8.548754e+00
  5.353459e+00    8.551530e+00
  5.368867e+00    8.559908e+00
  5.384275e+00    8.544066e+00
  5.399684e+00    8.541241e+00
  5.415092e+00    8.543869e+00
  5.430501e+00    8.536111e+00
  5.445909e+00    8.537234e+00
  5.461317e+00    8.565730e+00
  5.476726e+00    8.565786e+00
  5.492134e+00    8.590932e+00
  5.507542e+00    8.671338e+00
  5.522951e+00    8.795547e+00
  5.538359e+00    9.123425e+00
  5.553767e+00    1.003486e+01
  5.569176e+00    1.379322e+01
  5.584584e+00    4.054114e+01
  5.599993e+00    1.233581e+02
  5.615401e+00    1.543322e+02
  5.630809e+00    7.994377e+01
  5.646218e+00    2.103831e+01
  5.661626e+00    1.101871e+01
  5.677034e+00    9.213480e+00
  5.692443e+00    8.665204e+00
  5.707851e+00    8.447996e+00
  5.723259e+00    8.319579e+00
  5.738668e+00    8.230685e+00
  5.754076e+00    8.164184e+00
  5.769484e+00    8.120280e+00
  5.784893e+00    8.070910e+00
  5.800301e+00    8.026608e+00
  5.815710e+00    8.001505e+00
  5.831118e+00    7.963801e+00
  5.846526e+00    7.933619e+00
  5.861935e+00    7.926031e+00
  5.877343e+00    7.900398e+00
  5.892751e+00    7.872526e+00
  5.908160e+00    7.874700e+00
  5.923568e+00    7.855582e+00
  5.938976e+00    7.847958e+00
  5.954385e+00    7.837131e+00
  5.969793e+00    7.845039e+00
  5.985202e+00    7.831889e+00
  6.000610e+00    7.836255e+00
  6.016018e+00    7.849287e+00
  6.031427e+00    7.866897e+00
  6.046835e+00    7.917411e+00
  6.062243e+00    7.985060e+00
  6.077652e+00    8.199938e+00
  6.093060e+00    8.832642e+00
  6.108468e+00    1.180797e+01
  6.123877e+00    3.234354e+01
  6.139285e+00    7.698832e+01
  6.154693e+00    8.106429e+01
  6.170102e+00    3.592503e+01
  6.185510e+00    1.232690e+01
  6.200919e+00    8.820342e+00
  6.216327e+00    8.103888e+00
  6.231735e+00    7.864902e+00
  6.247144e+00    7.754063e+00
  6.262552e+00    7.687906e+00
  6.277960e+00    7.648829e+00
  6.293369e+00    7.610517e+00
  6.308777e+00    7.591105e+00
  6.324185e+00    7.574673e+00
  6.339594e+00    7.543548e+00
  6.355002e+00    7.536345e+00
  6.370411e+00    7.520112e+00
  6.385819e+00    7.499722e+00
  6.401227e+00    7.493705e+00
  6.416636e+00    7.479144e+00
  6.432044e+00    7.461474e+00
