# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_CeO2.dat
#       2th_deg             I 
  3.129082e+00    1.883353e+01
  3.144367e+00    1.906163e+01
  3.159652e+00    1.939532e+01
  3.174937e+00    1.984855e+01
  3.190222e+00    2.040559e+01
  3.205507e+00    2.121543e+01
  3.220792e+00    2.240527e+01
  3.236077e+00    2.419778e+01
  3.251362e+00    2.737656e+01
  3.266647e+00    3.359947e+01
  3.281932e+00    4.821360e+01
  3.297217e+00    9.456912e+01
  3.312502e+00    2.625085e+02
  3.327787e+00    5.611300e+02
  3.343072e+00    6.713143e+02
  3.358357e+00    4.302272e+02
  3.373642e+00    1.559416e+02
  3.388927e+00    6.303905e+01
  3.404212e+00    3.793587e+01
  3.419498e+00    2.867978e+01
  3.434783e+00    2.443209e+01
  3.450068e+00    2.199467e+01
  3.465353e+00    2.048762e+01
  3.480638e+00    1.942848e+01
  3.495923e+00    1.867362e+01
  3.511208e+00    1.810196e+01
  3.526493e+00    1.770688e+01
  3.541778e+00    1.736420e+01
  3.557063e+00    1.712067e+01
  3.572348e+00    1.687114e+01
  3.587633e+00    1.670491e+01
  3.602918e+00    1.656252e+01
  3.618203e+00    1.643481e+01
  3.633488e+00    1.640090e+01
  3.648773e+00    1.634021e+01
  3.664058e+00    1.626736e+01
  3.679343e+00    1.627238e+01
  3.694628e+00    1.633448e+01
  3.709914e+00    1.642884e+01
  3.725199e+00    1.658322e+01
  3.740484e+00    1.686563e+01
  3.755769e+00    1.739202e+01
  3.771054e+00    1.832668e+01
  3.786339e+00    2.024483e+01
  3.801624e+00    2.525196e+01
  3.816909e+00    4.230730e+01
  3.832194e+00    1.014080e+02
  3.847479e+00    1.849508e+02
  3.862764e+00    1.929285e+02
  3.878049e+00    1.123176e+02
  3.893334e+00    4.527258e+01
  3.908619e+00    2.524587e+01
  3.923904e+00    1.968544e+01
  3.939189e+00    1.746606e+01
  3.954474e+00    1.641312e+01
  3.969759e+00    1.578100e+01
  3.985044e+00    1.537275e+01
  4.000329e+00    1.503333e+01
  4.015615e+00    1.481431e+01
  4.030900e+00    1.462895e+01
  4.046185e+00    1.446769e+01
  4.061470e+00    1.436944e+01
  4.076755e+00    1.423193e+01
  4.092040e+00    1.415438e+01
  4.107325e+00    1.408686e+01
  4.122610e+00    1.400509e+01
  4.137895e+00    1.395689e+01
